	過払い金の相談先事務所のランキングサイト	150万円	99,466円	1,200円	98,266円	1,926	5件	2018-02-06
	話題のニュースなどの発信サイト	15万円	5,000円	500円	4,500円	38,900	13件	2018-02-05
	Youtuberをジャンル別に紹介するサイト	5万円	0円	540円	-540円	300	4件	2018-01-31
	女性の薄毛・育毛ケアのランキングサイト	5万円	0円	1,000円	-1,000円	62	2件	2018-01-26
	【価格変更】転職ノウハウや体験談を掲載したサイト	12,000万円	2,300,000円	1,180円	2,300,000円	231,600	3件	2017-09-21
	トレンド系の情報を発信しているサイト	35万円	40,672円	1,296円	39,376円	114,331	11件	2018-01-24
	アニメ動画のリンク紹介サイト	2,300万円	800,000円	1,080,000円	-280,000円	3,888,797	0件	2018-01-24
	初心者向けの仮想通貨情報発信サイト	1,350万円	1,500,000円	1,000円	1,499,000円	8,468	4件	2018-01-20
	盗聴器の発見方法についての紹介サイト	8万円	0円	180円	-180円	3,810	3件	2018-01-19
	育毛剤の体験談サイト	36万円	14,771円	1,196円	13,575円	1,393	1件	2018-01-19
	【価格変更】売主目線で書いたマンション売却サイト	58万円	24,685円	1,195円	23,490円	3,000	2件	2018-01-13
	F1層向けのメディアサイト	2,500万円	503,320円	141,860円	361,460円	1,713,821	4件	2018-01-18
	介護業界の情報発信サイト	300万円	61,489円	416円	61,073円	22,183	3件	2018-01-17
	【価格変更】日用品を扱うAmazonアカウント	250万円	2,660,618円	2,254,783円	405,835円	18,947	11件	2017-10-03
	仮想通貨の投資ブログ	3,250万円	1,283,695円	34,294円	1,249,401円	75,228	1件	2018-01-15
	【価格変更】光回線やプロバイダなどの情報サイト	250万円	108,108円	1,296円	106,812円	174,843	3件	2018-01-10
	Amazonギフト券等の買取のアフィリエイトサイト	500万円	205,000円	3,000円	202,000円	12,000	1件	2018-03-05
	【価格変更】FXの口座開設に特化したサイト	60万円	0円	1,000円	-1,000円	-	3件	2018-02-02
	人気ゲームアプリの攻略まとめサイト	5万円	7,089円	880円	6,209円	119,259	11件	2018-03-05
	【価格変更】トレンド情報をあつかった完全ホワイトサイト	25万円	74,300円	1,000円	73,300円	139,000	35件	2017-12-01
	介護職員初任者研修講座のアフィリサイト	200万円	32,000円	150円	31,850円	1,282	1件	2018-03-02
	【価格変更】運営歴4年、評価数80のアマゾンショップ	79万円	265,622円	199,217円	66,405円	-	3件	2018-01-31
	犬に関する情報サイト	290万円	120,000円	1,200円	118,800円	75,771	10件	2018-03-01
	商品の口コミ・評判や体験談を集めたサイト	1,500万円	1,074,348円	101,080円	973,268円	200,000	6件	2018-02-28
	ワキガ対策のアフィリエイトサイト	2,500万円	1,764,139円	51,080円	1,713,059円	100,000	4件	2018-02-28
	仮想通貨・ブロックチェーンに関する情報サイト	1,000万円	400,000円	107,000円	293,000円	15,500	3件	2018-02-27
	債務整理・借金問題に関する情報サイト（2サイトセット）	300万円	95,593円	11,297円	84,296円	1,723	1件	2018-02-27
	全身脱毛サロンの情報サイト（サテライトサイト付）	350万円	156,000円	8,800円	130,000円	880	3件	2018-02-27
	46万人のファンがいるバイラルメディア	3,000万円	1,080,000円	30,000円	1,050,000円	165,177	2件	2018-02-27
	塾の選び方などを説明するサイト	10万円	0円	1,000円	-1,000円	3,614	7件	2018-02-23
	日焼け止めサプリメントの比較サイト	2万円	847円	1,195円	-348円	11	4件	2018-02-22
	バストアップ教材の比較ランキングサイト	3万円	2,375円	1,195円	1,180円	53	4件	2018-02-22
	口臭対策グッズのレビューサイト	13万円	5,589円	1,187円	4,402円	165	6件	2018-02-22
	名古屋でaga治療を考えている方向けの情報サイト	420万円	254,370円	200円	254,170円	938	2件	2018-02-16
	仮想通貨初心者のための解説サイト	1,500万円	1,564,200円	1,093円	1,563,107円	25,463	3件	2018-02-13
	ダイエットや筋トレ・加圧シャツに関する情報サイト	350万円	301,000円	2,734円	298,266円	5,500	7件	2018-02-13
	女性を対象とした野菜・健康テーマのメディア	70万円	15,120円	1,080円	14,040円	21,525	6件	2018-03-27
	恋愛系の情報教材アフィリエイトサイト	90万円	30,000円	1,080円	28,920円	14,000	3件	2018-03-27
	主婦を対象とした洗濯・掃除の総合メディア	120万円	6,619円	1,080円	5,539円	26,357	4件	2018-03-26
	女性の顔の産毛クリームの紹介サイト	250万円	82,000円	674円	81,326円	3,078	3件	2018-03-22
	【価格変更】主に仮想通貨の情報に関する雑記サイト	50万円	107,404円	1,431円	105,973円	37,139	17件	2018-02-17
	【価格変更】ダイエットのコミュニティサイト	40万円	411円	1,944円	-1,533円	10,000	13件	2018-01-31
	法事法要に僧侶を派遣するサービス	500万円	175,000円	147,000円	28,000円	8,100	2件	2018-03-19
	爪を噛む癖を治したい人（特に女性）向けのサイト	56万円	55,000円	1,080円	53,920円	32,773	11件	2018-03-16
	自動車保険の見積りの比較サイト	90万円	45,000円	2,280円	42,720円	2,240	10件	2018-03-16
	格闘ゲームに関する情報サイト	40万円	3,500円	2,515円	985円	136,152	0件	2018-03-15
	育毛や美容など様々なジャンルのアフィリサイト	720万円	593,819円	45,341円	548,478円	58,073	3件	2018-03-15
	【価格変更】看護師求人に関する情報サイト（6サイト）	150万円	109,000円	2,500円	106,500円	525	6件	2018-03-09
	車査定のアフィリエイトサイト	2,000万円	662,921円	12,196円	650,725円	435,799	1件	2018-03-12
	自動車保険のアフィリエイトサイト	2,300万円	771,253円	128,696円	642,557円	407,532	3件	2018-03-12
	【価格変更】女性の美容や悩みへ訴求する情報サイト	290万円	170,000円	1,000円	169,000円	4,200	15件	2018-02-16
	【価格変更】LINE・インスタなどSNSの使い方の解説サイト	34万円	16,000円	1,296円	14,704円	47,000	10件	2018-02-20
	ゴルフ上達のための情報サイト	50万円	10,000円	150円	9,850円	6,000	9件	2018-03-06
	レーシックに関するメディアサイト	1,000万円	579,000円	55,000円	524,000円	77,900	2件	2018-03-06
	【価格変更】ウォーターサーバーのレビューサイト	30万円	9,500円	1,404円	8,096円	3,124	5件	2018-03-02
	かっこいい男を目指す男性のためのメディア	140万円	90,213円	1,200円	89,013円	40,000	12件	2018-03-05
	【価格変更】男性ユーザーメインの漫画アプリ	650万円	680,000円	330,000円	350,000円	1,500,000	4件	2018-04-02
	女性の薄毛改善に役立つ情報サイト	20万円	0円	1,200円	-1,200円	69	4件	2018-04-09
	国内旅行に関するお得な情報を発信するブログ	30万円	4,000円	1,000円	3,000円	13,000	4件	2018-04-09
	【価格変更】インドネシア直輸入のインテリア商品販売サイト	480万円	200,000円	1,000円	199,000円	10,000	3件	2018-04-09
	【価格変更】ダイエット・美容商材に特化した情報サイト	120万円	100,000円	500円	99,500円	2,423	15件	2018-03-20
	【価格変更】チャットレディの求人サイト	38万円	2,500,000円	1,500,000円	1,000,000円	1,000	16件	2017-09-15
	PS4のゲームソフトを紹介するサイト	25万円	1,000円	500円	500円	1,000	0件	2018-04-05
	妖怪ウォッチグッズの紹介サイト	25万円	2,000円	500円	1,500円	5,500	0件	2018-04-05
	看護師の転職に関する情報サイト	15万円	118円	1,080円	-962円	511	2件	2018-04-05
	運営歴10年のネイル用品通販サイト	500万円	346,147円	209,000円	137,147円	14,000	3件	2018-04-04
	タイ輸入食材の専門オンラインショップ	300万円	400,000円	203,438円	196,562円	9,333	1件	2018-04-03
	Youtube洋楽動画まとめ2サイト	40万円	0円	1,000円	-1,000円	750	2件	2018-04-03
	乃木坂のまとめサイト	15万円	500円	0円	500円	7,170	1件	2018-04-03
	AKB48のまとめサイト	65万円	15,000円	1,000円	14,000円	275,725	5件	2018-04-02
	妊婦の悩みを解消するための情報サイト	200万円	36,000円	700円	35,300円	-	1件	2018-04-02
	ホストクラブ・ホスト関連のまとめサイト	240万円	0円	2,143円	-2,143円	132,485	2件	2018-04-02
	WordPressに関する情報ポータルサイト	70万円	1,555円	1,080円	470円	8,600	1件	2018-04-02
	旦那の浮気（浮気調査）に関する情報サイト	250万円	112,783円	1,080円	111,703円	60,000	4件	2018-04-02
	葬儀にまつわる情報サイト	10万円	1,000円	600円	400円	5,000	22件	2018-03-29
	画像掲示板サイト	25万円	2,000円	1,540円	460円	84,161	1件	2018-03-29
	【価格変更】有名美容ブランドの美容器具情報サイト	90万円	75,331円	1,215円	74,116円	8,957	12件	2018-04-04
	【価格変更】人気スマホゲームの攻略情報まとめサイト	10万円	99円	300円	-201円	1,970	2件	2018-04-02
	身長・成長に関する情報をまとめたアフィリサイト	200万円	35,712円	1,000円	34,712円	24,913	0件	2018-05-08
	無料で姓名判断を行える占いサイト	3,000万円	100,000円	30,000円	70,000円	3,500,000	1件	2018-05-07
	フリーター向けの就職アフィリサイト	100万円	15,000円	1,000円	14,000円	6,000	3件	2018-05-07
	【価格変更】仮想通貨初心者向けのアフィリサイト	25万円	2,000円	1,000円	1,000円	2,552	7件	2018-05-01
	【価格変更】ソーシャルレンディングのアフィリサイト	100万円	10,000円	1,200円	8,800円	180	0件	2018-05-01
	【婚活全般情報サイト】完全オリジナルで執筆200記事	100万円	5,000円	300円	4,700円	23,000	2件	2018-05-02
	格安航空会社LCCの情報まとめサイト	50万円	30,000円	1,080円	28,920円	40,000	7件	2018-05-01
	年金制度に特化したアドセンスサイト(2サイトセット)	240万円	96,000円	1,400円	94,600円	207,600	10件	2018-04-28
	ディズニー・USJに特化したアドセンスサイト（2サイトセット）	105万円	51,500円	11,000円	40,500円	190,490	19件	2018-04-25
	スキンケアクリームのアフィリエイトサイト	150万円	39,600円	1,500円	38,100円	3,024	2件	2018-04-23
	不動産売却のアフィリエイトサイト	120万円	50,000円	540円	49,460円	2,008	6件	2018-04-22
	青汁のアフィリエイトサイト	150万円	22,155円	1,080円	21,075円	13,356	1件	2018-04-19
	女性目線で書いたまつげケアとまつげ美容液の紹介サイト	96万円	34,648円	1,080円	33,568円	20,000	1件	2018-04-16
	全身脱毛のアフィリエイトサイト	200万円	120,000円	1,550円	118,450円	400	1件	2018-04-15
	30代女性のためのブログ型情報サイト	25万円	1,300円	500円	800円	4,358	3件	2018-04-13
	ワードプレスの使い方やSEOの知識の解説サイト	40万円	7,000円	1,000円	6,000円	7,000	3件	2018-04-13
	ガジェットのレビューサイト	35万円	35,000円	1,000円	34,000円	60,000	4件	2018-04-11
	人気ソーシャルゲームのまとめ系速報ブログ	20万円	15,000円	1,296円	13,704円	150,000	4件	2018-04-11
	【価格変更】季節ネタを扱う雑記ブログ	250万円	106,000円	1,300円	104,700円	231,918	7件	2018-05-21
	【価格変更】話題になりそうなニュースを扱う情報サイト	25万円	18,482円	1,300円	17,182円	48,154	7件	2018-05-21
	【価格変更】犬に関連する総合サイト	290万円	92,002円	400円	91,602円	195,095	15件	2018-05-02
	男性特有の悩みに関するサイト（2サイトセット）	20万円	25,000円	500円	24,500円	178	5件	2018-05-27
	デリケートゾーンに関するサイト（3サイトセット）	10万円	3,860円	500円	3,360円	655	5件	2018-05-27
	【価格変更】格安SIMの紹介・比較サイト	90万円	53,000円	16,000円	37,000円	24,000	6件	2018-03-14
	30代、40代のための転職サイト	10万円	1,400円	500円	800円	2,869	4件	2018-05-24
	フラメンコの踊り方に関するアフィリサイト	10万円	6,900円	500円	6,400円	1,100	3件	2018-05-24
	結婚式を控えている新郎新婦をターゲットにしたサイト	150万円	112,000円	1,180円	110,820円	8,600	4件	2018-05-24
	【価格変更】恋愛や結婚の悩みに関する情報サイト	210万円	58,000円	560円	57,440円	80,752	7件	2018-05-21
	大人の男女向けメディア（株式譲渡）	2,000万円	1,700,000円	200,000円	1,500,000円	2,500,000	11件	2018-05-22
	【価格変更】女性用化粧品のアフィリエイトサイト（3サイトセット）	95万円	44,622円	3,734円	40,888円	668	7件	2018-05-07
	【価格変更】漫画買取サイトの紹介サイト	10万円	3,250円	540円	2,710円	500	3件	2018-04-02
	【価格変更】より良い仕事や働き方を提案する情報サイト	50万円	13,500円	540円	12,960円	500	4件	2018-03-30
	二重整形クリニックのランキングサイト	80万円	50,000円	135円	49,865円	24,000	11件	2018-05-18
	【価格変更】薄毛全般に関する情報サイト	2,300万円	1,135,000円	343,000円	792,000円	91,000	2件	2018-03-05
	【価格変更】肌トラブルに関連する美容ブログ	50万円	36,291円	1,187円	35,104円	4,718	12件	2018-04-18
	国内最大級の短歌の投稿SNSサイト	300万円	0円	4,220円	-4,220円	260,000	2件	2018-05-16
	【価格変更】キャッシングのアフィリエイトサイト	50万円	0円	1,080円	-1,080円	10,945	8件	2018-05-01
	家事や季節ネタなど生活に関する知恵の紹介サイト	310万円	136,852円	1,080円	135,772円	242,938	6件	2018-05-14
	転職の1分野に特化したアフィリエイトサイト	150万円	66,960円	1,500円	65,460円	83,000	6件	2018-06-14
	無料で読める漫画アプリ	216万円	90,000円	50,000円	40,000円	-	1件	2018-06-12
	【価格変更】某デオドラントクリームに特化した情報サイト	190万円	416,880円	1,734円	415,146円	2,962	15件	2018-06-04
	仮想通貨取引所のアフィリエイトサイト	20万円	0円	1,000円	-1,000円	0	8件	2018-06-11
	戦隊ものに特化したホワイトSEOサイト	20万円	6,140円	2,808円	3,332円	7,965	1件	2018-06-11
	妊娠に関するお役立ち情報サイト	80万円	21,919円	1,080円	20,829円	24,000	9件	2018-06-11
	爪水虫の用品に関するランキングサイト	320万円	267,628円	1,080円	266,548円	24,000	5件	2018-06-11
	【価格変更】Wordpressのプラグイン紹介公式サイト	230万円	54,000円	630円	53,370円	300	2件	2018-06-06
	ふるさと納税の解説サイト	200万円	107,348円	5,591円	101,757円	17,807	9件	2018-06-05
	Mac、iPhone、Webサービスの使い方の説明サイト	55万円	30,259円	1,080円	29,179円	92,377	8件	2018-06-05
	ミニマリストに興味がある女性向けファッションサイト	50万円	26,000円	500円	25,400円	31,000	4件	2018-06-04
	iPhoneの使い方の解説サイト	15万円	10,000円	1,620円	8,380円	18,000	10件	2018-06-04
	galaxyの使い方の解説サイト	20万円	10,000円	1,620円	8,380円	11,000	5件	2018-06-04
	スマートフォンの使い方の解説サイト	40万円	15,000円	270円	14,730円	23,000	7件	2018-06-04
	【価格変更】高級ペットフードのレビューサイト	55万円	47,545円	500円	47,045円	640	5件	2018-06-04
	【価格変更】糖質制限に関するホワイトハットサイト	200万円	67,000円	3,000円	64,000円	37,459	6件	2018-02-07
	子供の健康トラブルを解決するヒントを紹介したサイト	30万円	8,000円	1,789円	6,211円	18,460	9件	2018-06-01
	【価格変更】開運まとめ記事に特化したWordpressサイト	120万円	40,000円	22,000円	18,000円	127,000	13件	2018-05-09
	オーガニックコスメに関するサイト	50万円	14,059円	543円	13,516円	2,486	4件	2018-05-30
	【価格変更】債務整理や過払い金返還に特化したアフィリサイト	280万円	131,000円	5,000円	126,000円	3,889	5件	2018-04-20
	【価格変更】白髪用ヘアカラートリートメントの紹介サイト	900万円	689,660円	26,080円	663,580円	33,000	4件	2018-06-26
	神社やお寺の御朱印を紹介するブログ	15万円	214円	1,080円	-866円	2,129	8件	2018-06-27
	30代・40代の女性向けファッションウェブマガジン	25万円	0円	500円	-500円	1,500	7件	2018-06-26
	税金、ふるさと納税、育児等の解説サイト	30万円	20,000円	1,190円	18,810円	32,500	17件	2018-06-26
	自毛植毛に特化したアフィリエイトサイト	20万円	0円	800円	-800円	-	1件	2018-06-26
	【価格変更】飲食・美容院などのお店検索&予約サイト	150万円	0円	1,000円	-1,000円	0	2件	2018-04-13
	Yahooプロモーションを活用したアドセンス収益ブログ	350万円	160,423円	64,200円	96,223円	31,253	6件	2018-06-25
	光目覚まし時計の購入方法を紹介したサイト	5万円	14,680円	1,000円	13,680円	300	13件	2018-06-21
	スマートウォッチの買取店紹介サイト	5万円	1,705円	1,080円	625円	4,054	6件	2018-06-19
	白髪対策サプリメントのアフィリサイト	25万円	5,000円	580円	4,420円	833	3件	2018-06-19
	クレジットカードのアフィリサイト	140万円	50,000円	1,000円	49,000円	10,000	6件	2018-06-19
	車検切れの車の買取アフィリサイト	45万円	15,360円	1,000円	14,360円	1,667	4件	2018-06-19
	住宅用太陽光発電に関する情報サイト	500万円	81,367円	7,200円	74,167円	5,800	0件	2018-06-19
	ウォーターサーバーの比較サイト	350万円	130,000円	1,000円	129,000円	6,200	4件	2018-06-19
	【価格変更】不動産一括査定サイトのアフィリサイト	45万円	0円	400円	-400円	500	8件	2018-06-13
	ドックフードに関する比較サイト	40万円	3,500円	380円	3,120円	1,300	1件	2018-06-18
	全身脱毛の比較情報サイト	498万円	170,000円	3,050円	166,950円	735	1件	2018-06-18
	GalaxyS8の使い方の解説サイト	20万円	6,000円	100円	5,900円	10,000	3件	2018-06-18
	仮想通貨取引所・ICO・アルトコインの紹介サイト	120万円	500,000円	429円	499,571円	13,000	9件	2018-06-15
	家を建てる人に向けた情報サイト	300万円	50,000円	640円	49,360円	67,740	7件	2018-06-14
	男性向け恋愛ノウハウ情報サイト	180万円	28,000円	1,300円	26,700円	82,696	2件	2018-07-24
	脱毛の口コミや体験談をまとめたサイト	30万円	1,691円	1,400円	291円	2,700	8件	2018-07-24
	ドラマ関係のVOD加入を促すサイト	50万円	33,000円	1,080円	31,920円	174,227	17件	2018-07-23
	街コンに特化した情報サイト（2サイトセット）	100万円	36,000円	1,170円	34,830円	3,266	1件	2018-07-23
	介護の有料人材紹介サイト	40万円	2,857円	1,080円	1,777円	4,600	9件	2018-07-19
	格安SIM・格安スマホに特化したアフィリサイト	250万円	106,020円	1,000円	105,020円	6,500	5件	2018-07-19
	ニキビの治療日記ブログ	75万円	27,900円	1,000円	26,900円	8,503	3件	2018-07-17
	【価格変更】脱毛に関する情報サイト	15万円	100円	1,080円	-980円	143	4件	2018-07-10
	【価格変更】特定ジャンルの買取に関する情報サイト	600万円	249,847円	1,500円	248,347円	11,767	3件	2018-06-29
	【価格変更】セルライト除去に関するアフィリサイト	30万円	68,300円	1,000円	67,300円	6,000	9件	2018-05-30
	音楽スクールの比較サイト	1,000万円	440,000円	1,080円	438,920円	30,000	4件	2018-07-10
	雑学や季節ネタ・生活関連テーマ中心の情報サイト	65万円	19,652円	4,300円	15,352円	26,720	15件	2018-07-10
	【価格変更】Instagramで話題のヘアアイロン紹介サイト	70万円	51,845円	2,000円	49,845円	4,367	9件	2018-06-18
	不動産売却ジャンルのアフィリエイトサイト	830万円	299,790円	1,000円	298,790円	15,000	18件	2018-07-06
	子育てママのための総合情報ウェブマガジン	30万円	5,000円	100円	4,900円	10,000	6件	2018-07-06
	女性向けのボディケアに関する情報サイト	80万円	12,400円	3,080円	9,320円	2,900	3件	2018-07-05
	人気ゲームアプリの攻略まとめサイト	60万円	100,509円	4,860円	95,649円	354,224	12件	2018-07-05
	漫画の電子書籍とVODを中心としたトレンドブログ	50万円	32,000円	1,500円	30,500円	60,000	35件	2018-07-04
	UQモバイルとマイネオに特化した情報サイト	18万円	5,000円	1,000円	4,000円	600	5件	2018-07-04
	月間平均90万PVの東北地方に関する釣りメディア	180万円	1,234,334円	987,566円	246,768円	948,220	6件	2018-06-28
	漫画紹介・マンガアプリの紹介サイト	50万円	50,000円	1,080円	48,920円	73,000	10件	2018-08-07
	海外のECサイトをまとめたブログ	360万円	96,568円	972円	95,264円	44,896	2件	2018-08-07
	デオドラントクリーム・ニオイ対策に特化した某ボディソープのサイト（2サイト）	55万円	18,547円	1,080円	17,467円	309	4件	2018-08-06
	Amazon.co.jpのセラーアカウントの売却	40万円	470,895円	365,000円	105,895円	83,084	1件	2018-08-03
	革靴・シューケア用品・ビジネス小物類の紹介サイト	290万円	102,538円	1,195円	101,343円	122,316	2件	2018-08-02
	【価格変更】体験談を含んだ仮想通貨のサイト	70万円	17,336円	1,080円	16,256円	5,078	4件	2018-07-23
	クッションファンデーションの紹介サイト	30万円	6,500円	500円	6,000円	2,400	0件	2018-08-01
	漫画買取のSEOアフィリエイトサイト	350万円	135,640円	16,000円	119,640円	10,988	2件	2018-08-01
	買取に関する総合情報サイト	1,500万円	492,924円	51,000円	441,924円	25,880	1件	2018-08-01
	エンタメ・スポーツ系アドセンスブログ	200万円	102,239円	29,080円	73,159円	340,000	0件	2018-07-31
	女性向け婚活サイト	330万円	170,000円	11,000円	159,000円	19,000	6件	2018-07-31
	仮想通貨に関する情報サイト	300万円	300,000円	297,220円	2,780円	-	1件	2018-07-31
	SNS連携ツール「IFTTT」の日本語訳サイト	25万円	5,305円	986円	4,319円	27,427	5件	2018-07-30
	アウトドア（登山）に特化した情報サイト	85万円	42,788円	1,080円	41,708円	88,046	18件	2018-07-30
	【価格変更】水商売で働く女性のためのサイト	300万円	0円	1,200円	-1,200円	43,528	4件	2018-03-09
	様々な月額サービスの契約見直し方法に関するサイト	350万円	103,600円	100円	103,500円	75,000	2件	2018-07-28
	歯のホワイトニングに関するアフィリエイトサイト	60万円	31,000円	1,080円	29,920円	23,000	18件	2018-07-27
	【価格変更】プログラミングスクールの比較サイト	750万円	386,267円	1,530円	384,737円	10,000	11件	2018-07-17
	家具の無在庫ECサイト	650万円	1,800,000円	1,432,800円	367,200円	22,180	3件	2018-07-26
	【価格変更】漫画紹介・マンガアプリ紹介サイト	180万円	80,000円	2,800円	77,200円	34,000	13件	2018-06-08
	【価格変更】女性向け美容のサイト	150万円	216,037円	1,080円	214,975円	31,184	43件	2018-07-17
	【価格変更】格安SIMを扱ったサイト	28万円	19,824円	1,130円	18,694円	855	12件	2018-07-31
	ネット回線に特化したアフィリエイトサイト	10万円	0円	200円	-200円	3,600	8件	2018-08-27
	【価格変更】ファンデーションに関する情報サイト（2サイト）	250万円	101,926円	2,160円	99,766円	42,350	2件	2018-08-23
	お得情報や話題ニュースなどの情報サイト	2,000万円	1,136,388円	78,240円	1,088,388円	1,086,812	10件	2018-08-21
	株式投資（IPO）に特化した情報サイト	30万円	2,051円	500円	1,551円	4,300	7件	2018-08-20
	PPC広告を使ったアドセンスサイト	300万円	348,100円	178,100円	170,000円	199,700	10件	2018-08-20
	【価格変更】子供の成長サプリメントに特化した情報サイト	170万円	137,150円	1,250円	135,900円	889	3件	2018-07-10
	営業ノウハウに関する情報サイト	20万円	7,397円	1,080円	6,317円	15,153	6件	2018-08-17
	犬の画像や動画をまとめたキュレーションサイト	150万円	76,807円	4,500円	72,307円	230,000	11件	2018-08-16
	野菜の旬や種まきの方法、保存方法などの紹介ブログ	50万円	6,016円	1,080円	4,936円	26,317	7件	2018-08-16
	歯の黄ばみを落とす方法や役立ちグッズの紹介サイト	10万円	13,000円	600円	12,400円	7,300	33件	2018-08-16
	ナイトワークの求人サイト	500万円	200,000円	5,000円	195,000円	8,000	7件	2018-08-13
	PCMAXなど出会い系の体験談をまとめたサイト	4,000万円	2,400,000円	700円	2,399,300円	110,000	8件	2018-08-10
	副業やその他趣味やレビューの体験ブログ	18万円	4,974円	200円	4,774円	4,709	16件	2018-08-10
	【独自情報＆メルマガリスト付き】海外投資の体験サイト	90万円	1,500円	1,080円	420円	3,000	1件	2018-08-09
	失恋をテーマとしたポータルサイト	44万円	64,000円	35,700円	28,300円	1,300	5件	2018-08-09
	自動車の一括査定サービス	44万円	108,000円	97,000円	11,000円	-	9件	2018-08-08
	ドラマ関係のVOD加入を促すサイト	200万円	135,734円	1,080円	134,654円	42,000	13件	2018-08-08
	恋愛の悩み解決やテクニックの紹介サイト	30万円	6,000円	600円	5,400円	344	10件	2018-08-07
	【価格変更】評価130以上の日本アマゾンのセラーアカウント	35万円	50円	5,000円	445,000円	-	4件	2018-08-27
	YouTuberの情報をまとめたサイト	55万円	17,998円	1,080円	16,918円	108,135	8件	2018-09-21
	【価格変更】女性向けマッチングアプリジャンルに関するサイト	90万円	85,766円	31,993円	53,773円	967	9件	2018-09-20
	日常生活で起こるお金が支払えない状況を解決するサイト	8,000万円	2,000,000円	431,000円	1,569,000円	39,428	2件	2018-09-20
	ウイスキーや二日酔いを紹介するサイト	100万円	40,000円	1,400円	38,600円	54,700	7件	2018-09-19
	夢占いに特化したサイト	800万円	400,000円	10,000円	390,000円	500,000	3件	2018-09-18
	【価格変更】結婚式の情報に特化したサイト	40万円	3,000円	600円	2,400円	12,000	2件	2018-09-10
	VOD・動画配信サービスの比較サイト	200万円	92,913円	1,080円	91,833円	44,454	11件	2018-09-14
	【価格変更】脱毛サロンのアフィリエイトサイト	100万円	41,602円	8,133円	33,469円	8,858	8件	2018-08-27
	管理栄養士、栄養士に特化したサイト	250万円	74,416円	800円	73,616円	174,000	6件	2018-09-11
	仮想通貨を扱っているブログ	150万円	250,000円	2,000円	248,000円	20,286	12件	2018-09-10
	医師転職をテーマとしたアフィリエイトサイト	2,500万円	796,000円	1,000円	795,000円	16,418	2件	2018-09-10
	少年サッカーの練習方法や指導ノウハウを集めたサイト	150万円	129,036円	1,213円	127,823円	171,250	12件	2018-09-10
	【価格変更】アイクリームの総合情報サイト	300万円	190,283円	1,000円	189,283円	10,000	2件	2018-07-03
	【価格変更】汗やニオイの悩みを解決するためのサイト	50万円	100,000円	600円	99,400円	41,000	50件	2018-08-16
	スマホ・クレカに特化した情報サイト（3サイトセット）	3,000万円	728,000円	95,000円	633,000円	-	0件	2018-09-05
	【価格変更】婚活ジャンルのアフィリエイトサイト	330万円	141,526円	2,900円	138,626円	9,911	15件	2018-07-10
	ホワイトニングに関する情報サイト	20万円	3,000円	1,000円	2,000円	6,000	1件	2018-09-04
	【価格変更】Amazon.co.jpの小口セラーアカウントの売却	16万円	200,000円	165,000円	35,000円	30,000	11件	2018-08-04
	転職のアフィリエイトサイト	1,650万円	535,000円	1,000円	534,000円	48,000	4件	2018-08-30
	【価格変更】子供や母親向けの手作り情報サイト	1,080万円	566,284円	980円	565,304円	2,600,000	5件	2018-10-09
	【価格変更】男性向けのダイエットや筋トレの情報サイト	190万円	154,000円	3,505円	150,495円	4,243	18件	2018-07-19
	子育て・妊活がメインテーマのサイト	290万円	149,852円	600円	149,252円	148,235	5件	2018-10-09
	コスプレ衣装を提供する通販サイト	490万円	700,000円	423,240円	276,760円	23,000	2件	2018-10-09
	浮気調査に関する情報サイト	820万円	346,000円	1,000円	345,000円	30,000	1件	2018-10-09
	パパ活を中心とした大人の恋愛メディア	150万円	91,828円	1,067円	90,761円	20,098	3件	2018-10-09
	【価格変更】年商1,000万を売り上げた男女向け恋愛・婚活メディア	350万円	554,254円	635円	553,524円	91,316	13件	2018-10-04
	映画・アニメ・漫画などエンタメ系情報サイト	1,480万円	1,151,203円	1,600円	1,149,603円	796,457	2件	2018-10-04
	【価格変更】「〇〇　おすすめ」で数々の検索1位を獲得しているサイト	2,480万円	1,065,491円	230,546円	834,945円	501,289	17件	2018-09-06
	釣りに関する疑問や悩みの解決サイト	150万円	59,708円	1,600円	58,108円	50,813	9件	2018-10-03
	評価241で100%positiveのebayアカウント	45万円	0円	0円	0円	-	1件	2018-10-02
	【価格変更】Amazonアカウント(大口)	80万円	0円	5,000円	-5,000円	-	0件	2018-08-21
	Webクリエイター向けの情報メディア	150万円	9,046円	74,809円	-65,763円	66,302	0件	2018-09-26
	【価格変更】運営期間3年自演リンクなしの引越し一括査定サイト	120万円	60,000円	2,000円	58,000円	-	7件	2018-09-10
	V系（音楽、エンタメ）ニュースメディア	1,000万円	200,000円	1,000円	199,000円	-	0件	2018-09-25
	WiMAX・ポケットWi-Fi・格安SIMの比較サイト	2,500万円	983,865円	2,561円	981,304円	39,722	3件	2018-09-25
	【価格変更】英語学習に関するノウハウ中心の雑記ブログ	140万円	60,950円	1,080円	59,870円	36,000	14件	2018-09-21
	【価格変更】白髪染めに関するアフィリエイトサイト	150万円	80,000円	1,000円	79,000円	20,000	3件	2018-09-03
	【価格変更】復縁の体験談やコラムを集めたサイト	20万円	0円	1,000円	-1,000円	4,288	3件	2018-09-10
	【価格変更】Amazonアメリカの優良なセラーアカウント	68万円	500,000円	5,000円	445,000円	-	3件	2018-08-27
	【価格変更】SIRIUSで作成した洗顔石鹸のレビューサイト	20万円	5,000円	1,000円	4,000円	1,683	4件	2018-09-18
