	某有名脱毛サロンの大型アフィリエイトサイト	60万円	14,000円	5,500円	9,500円	-	-	2016-11-21
	地方空港の情報を掲載しているサイト	30万円	1,000円	600円	400円	5,000	件	2016-11-08
	ネイル検定に関する情報サイト	10万円	0円	1,195円	-1,195円	1,891	件	2016-11-08
	【価格変更】自動車保険に関する情報と自動車保険会社比較サイト	10万円	0円	615円	-615円	10	件	2016-09-04
	【価格変更】ペット保険に関する情報とペット保険会社比較サイト	10万円	0円	615円	-615円	0	-	2016-09-04
	【価格変更】不妊治療に関する情報サイト	5万円	0円	745円	-745円	0	-	2016-09-04
	【価格変更】痛風の治療に関する情報サイト	10万円	0円	615円	-615円	0	-	2016-09-04
	【価格変更】生命保険の情報とネット保険の比較サイト	10万円	0円	625円	-625円	0	件	2016-09-04
	保険分野における国内唯一のFintech事業	850万円	0円	9,000円	-9,000円	5,000	-	2016-11-02
	海外有名ブランドのスニーカーの輸入通販サイト	30万円	120,000円	95,000円	25,000円	10,500	-	2016-10-24
	トレンドネタを扱うアフィリエイトサイト	80万円	45,000円	7,080円	37,920円	160,000	-	2017-02-22
	イーベイ輸出の情報発信サイト	10万円	0円	2,750円	-2,750円	605	-	2017-02-22
	LINEアプリの小技や使い方を解説しているサイト	70万円	30,000円	1,333円	28,677円	110,000	-	2017-02-22
	焼酎のランキングサイト	50万円	10,000円	500円	9,500円	20,000	-	2017-02-21
	車の売買に関する情報サイト	110万円	44,000円	125円	43,875円	12,080	-	2017-02-17
	渋谷に特化した地域掲示板	15万円	0円	5,000円	-5,000円	100	件	2017-02-16
	オリジナルアパレルブランドのＥＣサイト	42万円	1,900円	10,800円	-8,900円	500	-	2017-02-04
	ヤミ金対策ができる士業の紹介サイト	15万円	11,670円	3,330円	8,330円	892	件	2017-02-01
	有名プライベートジムのアフィリエイトサイト	150万円	105,000円	1,543円	103,457円	19,462	-	2017-01-31
	【価格変更】PS４ゲームソフトダークソウル3の攻略サイト	15万円	15,000円	900円	14,100円	73,331	-	2017-01-07
	【価格変更】バリ島の家具雑貨販売サイト	650万円	500,000円	101,000円	399,000円	20,000	-	2016-12-20
	女性向けキュレーションサイト	300万円	10,000円	20,000円	-10,000円	43,897	-	2017-01-23
	車の一括査定サイト	30万円	19,000円	0円	19,000円	170	-	2017-01-21
	換金可能なポイントサイト	150万円	1,300,000円	840,000円	460,000円	250,000	-	2017-01-20
	健康茶の情報＆ランキングサイト	800万円	350,000円	1,000円	349,000円	20,000	-	2017-01-18
	ガールズチャンネルのキュレーションサイト	60万円	30,000円	1,000円	29,000円	100,000	-	2017-01-17
	おすすめの漫画を紹介するサイト	2万円	100円	0円	100円	200	件	2017-01-17
	新規ゲームアプリの紹介サイト	2万円	100円	0円	0円	400	-	2017-01-17
	日本代表・Jリーグ・海外サッカーに関するウェブマガジン	180万円	20,000円	1,000円	19,000円	150,000	-	2017-01-17
	精力剤のレビューサイト_2	400万円	400,000円	1,500円	398,500円	12,000	-	2016-12-26
	会員制のゲイ専用のSNSサイト	60万円	0円	1,000円	-1,000円	2,000	-	2017-04-18
	ペット全般の情報サイト	220万円	83,000円	5,000円	78,000円	207,600	-	2017-04-12
	サービス付き高齢者向け住宅の紹介サイト	800万円	142,335円	209,380円	-67,045円	123,523	-	2017-04-11
	FX商材系のアフィリエイトサイト	200万円	50,000円	4,510円	45,490円	3,000	-	2017-04-10
	大学入学のための情報サイト	3万円	0円	500円	-500円	132	件	2017-04-04
	【価格変更】印鑑通販の老舗サイト	1,960万円	3,500,000円	2,700,000円	800,000円	100,000	-	2017-02-24
	男性向け恋愛サイト（Facebookページ＋外注記事575記事付）	200万円	0円	1,200円	-1,200円	9,941	-	2017-03-23
	人気ゲームアプリの攻略まとめサイト	45万円	59,500円	1,500円	58,000円	494,531	-	2017-03-23
	【価格変更】健食サプリメントの商品名サイト	60万円	48,000円	100円	47,900円	450	-	2017-03-09
	【価格変更】女性向けのキュレーションサイト	50万円	30,000円	1,000円	29,000円	65,000	-	2017-03-08
	【価格変更】人気ゲームアプリの攻略まとめサイト	75万円	111,613円	14,292円	97,321円	1,660,104	-	2017-03-13
	トレンド記事を中心とした情報サイト	1,250万円	500,000円	100円	499,900円	350,000	-	2017-03-10
	電子たばこに特化したサイト	350万円	141,000円	100円	140,900円	200,000	-	2017-03-10
	【価格変更】スマホアプリの使い方を説明するサイト	150万円	50,000円	1,000円	49,000円	194,000	-	2017-03-07
	スマホゲーム攻略サイト	30万円	300円	1,300円	-1,000円	3,564	-	2017-03-04
	雑記アフィリエイトサイト	80万円	40,500円	790円	39,710円	75,653	-	2017-03-03
	人間関係をテーマにした投稿サイト	50万円	3,000円	2,500円	500円	-	-	2017-03-01
	猫に関する知識を掲載したサイト	3万円	240円	1,080円	840円	485	-	2017-02-28
	女性向け情報サイト	400万円	61,592円	2,808円	58,784円	360,461	-	2017-02-27
	キャッシングに関するポータルサイト	200万円	127,520円	1,080円	126,440円	9,613	-	2017-02-26
	【価格変更】格安SIMの初心者向け解説サイト	102万円	42,720円	680円	42,040円	36,000	-	2017-06-25
	AKB48グループのまとめブログ	50万円	63,000円	0円	63,000円	682,000	-	2017-06-21
	VR機材のレンタルサービス	120万円	50,000円	30,000円	20,000円	1,500	-	2017-06-20
	【価格変更】男性の下半身の悩みを解決するサイト	8万円	0円	1,250円	-1,250円	700	-	2017-02-07
	ペット用防音ケージのECサイト	10,000万円	1,800,000円	950,500円	849,500円	10,000	-	2017-06-15
	中小消費者金融を紹介するサイト	40万円	0円	1,080円	-1,080円	-	-	2017-06-15
